Name,NCBI Genome,RefSeq FTP,GenBank FTP,Size (Mb),PEG,Repeat Regions,RNA,tRNA,rRNA,GC%,Genome Length,Proteins,Isolation Country,cagA,vacA
Helicobacter pylori HE101/09,348358,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/255/GCF_900120255.1_HE101_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/255/GCA_900120255.1_HE101_09,1.66782,1672,68,41,35,6,39.1,1667821,1478/348358,,AB, 
Helicobacter pylori HE132/09,348354,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/135/GCF_900120135.1_HE132_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/135/GCA_900120135.1_HE132_09,1.66817,1669,68,41,35,6,39.1,1668174,1489/348354,,AB,s1 m1
Helicobacter pylori HE134/09,348355,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/185/GCF_900120185.1_HE134_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/185/GCA_900120185.1_HE134_09,1.66786,1675,68,41,35,6,39.1,1667858,1484/348355,,AB,s1 m1
Helicobacter pylori HE136/09,348357,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/225/GCF_900120225.1_HE136_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/225/GCA_900120225.1_HE136_09,1.66798,1676,68,41,35,6,39.1,1667978,1474/348357,,AB,s1 m1
Helicobacter pylori HE141/09,348356,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/205/GCF_900120205.1_HE141_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/205/GCA_900120205.1_HE141_09,1.67038,1677,70,41,35,6,39.1,1670384,1491/348356,,AB,s1 m1
Helicobacter pylori HE142/09,348359,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/275/GCF_900120275.1_HE142_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/275/GCA_900120275.1_HE142_09,1.66794,1672,68,41,35,6,39.1,1667936,1485/348359,,AB,s1 m1
Helicobacter pylori HE143/09,348352,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/995/GCF_900119995.1_HE143_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/995/GCA_900119995.1_HE143_09,1.6678,1683,68,41,35,6,39.1,1667804,1465/348352,,AB,s1 m1
Helicobacter pylori HE147/09,348361,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/335/GCF_900120335.1_HE147_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/335/GCA_900120335.1_HE147_09,1.66771,1679,70,41,35,6,39.1,1667712,1481/348361,,AB,s1 m1
Helicobacter pylori HE170/09,348360,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/315/GCF_900120315.1_HE170_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/315/GCA_900120315.1_HE170_09,1.67032,1676,70,41,35,6,39.1,1670321,1487/348360,,AB,s1 m1
Helicobacter pylori HE171/09,348351,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/955/GCF_900119955.1_HE171_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/955/GCA_900119955.1_HE171_09,1.66762,1665,68,41,35,6,39.1,1667625,1486/348351,,AB,s1 m1
Helicobacter pylori HE178/09,348353,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/055/GCF_900120055.1_HE178_09,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/055/GCA_900120055.1_HE178_09,1.66789,1682,68,41,35,6,39.1,1667894,1481/348353,,AB, 
Helicobacter pylori HE93/10_v1,348362,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/185/GCF_900176185.1_HE93_10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/176/185/GCA_900176185.1_HE93_10,1.6828,1682,72,41,35,6,39.1,1682800,1490/348362,,AB, 
Helicobacter pylori Hp238,216679,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/025/GCF_000817025.1_ASM81702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/025/GCA_000817025.1_ASM81702v1,1.58647,1614,46,39,34,5,38.7,1586473,1416/216679,Taiwan,ABD, 
Helicobacter pylori HP42K,430794,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/939/085/GCF_003939085.1_ASM393908v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/939/085/GCA_003939085.1_ASM393908v1,1.65845,1664,42,40,34,6,38.8796,1658454,1452/430794,Belarus,ABC,s1 m1
Helicobacter pylori HPAG1,299774,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/245/GCF_000013245.1_ASM1324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/245/GCA_000013245.1_ASM1324v1,1.60574,1614,54,41,35,6,39.0842,1605736,1438/299774,,ABC,s1 m1
Helicobacter pylori Hpbs1,426476,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/855/475/GCF_003855475.1_ASM385547v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/855/475/GCA_003855475.1_ASM385547v1,1.5637,1580,48,41,35,6,38.9,1563701,1393/426476,China,ABD,s1 m1
Helicobacter pylori Hpbs2,440859,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/088/155/GCF_004088155.1_ASM408815v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/088/155/GCA_004088155.1_ASM408815v1,1.53525,1558,38,40,34,6,38.9,1535248,1389/440859,China,,s1 m2
Helicobacter pylori Hpbs3,440858,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/088/075/GCF_004088075.1_ASM408807v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/088/075/GCA_004088075.1_ASM408807v1,1.51467,1530,45,40,34,6,39,1514674,1361/440858,China,, 
Helicobacter pylori HPJP26,331690,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/595/GCF_002356595.1_ASM235659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/595/GCA_002356595.1_ASM235659v1,1.57835,1632,65,41,35,6,38.9,1578351,1383/331690,United States,ABD,s1 m1
Helicobacter pylori HUP-B14,163553,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/235/GCF_000259235.1_ASM25923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/235/GCA_000259235.1_ASM25923v1,1.60758,1601,55,41,35,6,39.0866,1607584,1429/163553,Spain,ABCC, 
Helicobacter pylori India7,163541,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/185/GCF_000185185.1_ASM18518v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/185/GCA_000185185.1_ASM18518v1,1.67592,1667,45,40,34,6,38.9,1675918,1470/163541,,ABCC,s1 m2
Helicobacter pylori J166,163586,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/625/GCF_000685625.1_ASM68562v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/625/GCA_000685625.1_ASM68562v1,1.65056,1626,55,41,35,6,38.9,1650561,1466/163586,,ABC,s1 m1
Helicobacter pylori J182,650024,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/843/715/GCF_007843715.1_ASM784371v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/843/715/GCA_007843715.1_ASM784371v1,1.64808,1674,55,41,35,6,38.9,1648077,1498/650024,,ABC, 
Helicobacter pylori J99,299773,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/785/GCF_000008785.1_ASM878v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/785/GCA_000008785.1_ASM878v1,1.64383,1619,50,41,35,6,39.2,1643831,1463/299773,United States,BC,s1 m1
Helicobacter pylori Lithuania75,163543,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/225/GCF_000185225.1_ASM18522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/225/GCA_000185225.1_ASM18522v1,1.64067,1660,38,40,34,6,38.8492,1640673,1445/163543,,ABC,s1 m1
Helicobacter pylori MGYG-HGUT-01357,656790,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/381/665/GCF_902381665.1_UHGG_MGYG-HGUT-01357,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/381/665/GCA_902381665.1_UHGG_MGYG-HGUT-01357,1.56665,1593,44,41,35,6,38.9,1566655,1413/656790,,ABD,s1 m1
Helicobacter pylori ML2,264196,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/855/GCF_001549855.1_ASM154985v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/855/GCA_001549855.1_ASM154985v1,1.56212,1765,45,41,35,6,38.9,1562125,1204/264196,Taiwan,,s1 m1
Helicobacter pylori ML3,264197,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/875/GCF_001549875.1_ASM154987v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/875/GCA_001549875.1_ASM154987v1,1.63533,1756,53,39,35,4,38.6787,6220,1363/264197,Taiwan,ABD,s1 m1
Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504,383853,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/295/GCF_900478295.1_35377_D02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/295/GCA_900478295.1_35377_D02,1.68094,1708,70,41,35,6,38.8,1680937,1500/383853,Australia,ABCC,s1 m1
Helicobacter pylori NCTC12823,432187,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/505/GCF_900638505.1_57728_F01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/505/GCA_900638505.1_57728_F01,1.63222,1653,53,40,34,6,39,1632224,1424/432187,,ABC, 
Helicobacter pylori NCTC13345,432186,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/475/GCF_900638475.1_57685_G01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/475/GCA_900638475.1_57685_G01,1.64431,1634,58,41,35,6,39,1644315,1450/432186,Nigeria,ABC,s1 m1
Helicobacter pylori NY40,218283,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/955/GCF_000828955.1_ASM82895v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/955/GCA_000828955.1_ASM82895v1,1.69692,1756,90,41,35,6,38.8,1696917,1479/218283,,ABC,s1 m1
Helicobacter pylori OK113,163568,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/865/GCF_000348865.1_ASM34886v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/865/GCA_000348865.1_ASM34886v1,1.61662,1647,55,40,34,6,38.7,1616617,1420/163568,,ABD, 
Helicobacter pylori OK310,163569,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/885/GCF_000348885.1_ASM34888v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/885/GCA_000348885.1_ASM34888v1,1.59544,1612,54,41,35,6,38.7937,1595436,1434/163569,,ABCC,s1 m1
Helicobacter pylori oki102,163578,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/045/GCF_000600045.1_ASM60004v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/045/GCA_000600045.1_ASM60004v1,1.63321,1631,20,40,34,6,38.8,1633212,1462/163578,Japan,ABC,s1 m2
Helicobacter pylori oki112,163579,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/085/GCF_000600085.1_ASM60008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/085/GCA_000600085.1_ASM60008v1,1.63793,1633,38,41,35,6,38.8,1637925,1459/163579,Japan,ABC,s1 m2
Helicobacter pylori oki128,163580,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/125/GCF_000600125.1_ASM60012v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/125/GCA_000600125.1_ASM60012v1,1.55383,1566,57,41,35,6,39,1553826,1363/163580,Japan,,s2 m2
Helicobacter pylori oki154,163581,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/145/GCF_000600145.1_ASM60014v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/145/GCA_000600145.1_ASM60014v1,1.5997,1618,61,41,35,6,38.8,1599700,1412/163581,Japan,,s2 m2
Helicobacter pylori oki422,163582,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/165/GCF_000600165.1_ASM60016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/165/GCA_000600165.1_ASM60016v1,1.63485,1645,27,40,34,6,38.8,1634852,1435/163582,Japan,ABC,s1 m2
Helicobacter pylori oki673,163583,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/185/GCF_000600185.1_ASM60018v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/185/GCA_000600185.1_ASM60018v1,1.59506,1615,65,41,35,6,38.8,1595058,1401/163583,Japan,,s2 m2
Helicobacter pylori oki828,163584,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/205/GCF_000600205.1_ASM60020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/205/GCA_000600205.1_ASM60020v1,1.60034,1613,57,41,35,6,38.8,1600345,1407/163584,Japan,, 
Helicobacter pylori oki898,163585,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/225/GCF_000600225.1_ASM60022v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/225/GCA_000600225.1_ASM60022v1,1.63488,1616,30,40,34,6,38.8,1634875,1462/163585,Japan,ABC,s1 m2
Helicobacter pylori P12,299777,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/465/GCF_000021465.1_ASM2146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/465/GCA_000021465.1_ASM2146v1,1.68404,1704,45,40,34,6,38.7775,10225,1468/299777,,ABCC,s1 m1
Helicobacter pylori PeCan18,163562,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/425/GCF_000277425.1_ASM27742v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/425/GCA_000277425.1_ASM27742v1,1.66068,1640,54,40,34,6,39,1660685,1467/163562,Peru,AC,s1 m1
Helicobacter pylori PeCan4,163537,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/875/GCF_000148875.1_ASM14887v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/875/GCA_000148875.1_ASM14887v1,1.63827,1628,46,41,35,6,38.8681,1638269,1462/163537,,ABC,s1 m1
Helicobacter pylori PMSS1,305990,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/991/095/GCF_001991095.1_ASM199109v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/991/095/GCA_001991095.1_ASM199109v1,1.62454,1600,51,41,35,6,38.9929,6058,1438/305990,Australia,ABC,s2 m2
Helicobacter pylori Puno120,163549,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/535/GCF_000224535.1_ASM22453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/535/GCA_000224535.1_ASM22453v1,1.63776,1620,50,40,34,6,38.8758,1637762,1444/163549,,AC,s1 m1
Helicobacter pylori Puno135,163550,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/555/GCF_000224555.1_ASM22455v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/555/GCA_000224555.1_ASM22455v1,1.64614,1622,45,40,34,6,38.8,1646139,1481/163550,,ABC,s1 m1
Helicobacter pylori Rif1,163564,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/815/GCF_000307815.1_ASM30781v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/815/GCA_000307815.1_ASM30781v1,1.66788,1676,86,40,34,6,38.9,1667883,1493/163564,,ABC,s1 m1
Helicobacter pylori Rif2,163565,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/835/GCF_000307835.1_ASM30783v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/835/GCA_000307835.1_ASM30783v1,1.66789,1676,86,40,34,6,38.9,1667890,1495/163565,,ABC,s1 m1
Helicobacter pylori Sat464,163539,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/915/GCF_000148915.1_ASM14891v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/915/GCA_000148915.1_ASM14891v1,1.56757,1557,62,41,35,6,39.0742,1567570,1419/163539,Peru,AB,s1 m1
Helicobacter pylori Shi112,163561,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/405/GCF_000277405.1_ASM27740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/405/GCA_000277405.1_ASM27740v1,1.66346,1657,55,40,34,6,38.8,1663456,1493/163561,Peru,A,s1 m2
Helicobacter pylori Shi169,163560,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/385/GCF_000277385.1_ASM27738v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/385/GCA_000277385.1_ASM27738v1,1.61691,1605,57,41,35,6,38.9,1616909,1456/163560,Peru,AC, 
Helicobacter pylori Shi417,163559,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/365/GCF_000277365.1_ASM27736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/365/GCA_000277365.1_ASM27736v1,1.66572,1638,68,41,35,6,38.8,1665719,1490/163559,Peru,AC,s1 m1
Helicobacter pylori Shi470,299775,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/245/GCF_000020245.1_ASM2024v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/245/GCA_000020245.1_ASM2024v1,1.60855,1620,55,41,35,6,38.9,1608548,1442/299775,Peru,A,s1 m1
Helicobacter pylori SJM180,163536,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/855/GCF_000148855.1_ASM14885v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/855/GCA_000148855.1_ASM14885v1,1.65805,1633,39,40,34,6,38.9,1658051,1478/163536,Peru,ABC, 
Helicobacter pylori SNT49,163551,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/575/GCF_000224575.1_ASM22457v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/575/GCA_000224575.1_ASM22457v1,1.61083,1604,44,40,34,6,38.9968,1610830,1427/163551,,ABC,s1 m1
Helicobacter pylori SouthAfrica20,163577,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/775/GCF_000590775.1_ASM59077v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/775/GCA_000590775.1_ASM59077v1,1.6229,1685,33,41,35,6,38.6,1622903,1342/163577,South Africa,, 
Helicobacter pylori SouthAfrica7,163544,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/245/GCF_000185245.1_ASM18524v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/245/GCA_000185245.1_ASM18524v1,1.67983,1671,70,41,35,6,38.4259,1679829,1452/163544,,, 
Helicobacter pylori SS1,307918,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/525/GCF_002005525.1_ASM200552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/525/GCA_002005525.1_ASM200552v1,1.62494,1601,50,41,35,6,38.9939,5845,1439/307918,Australia,ABC,s2 m2
Helicobacter pylori TN2wt,676610,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/326/525/GCF_008326525.1_ASM832652v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/326/525/GCA_008326525.1_ASM832652v1,1.60495,1649,41,41,35,6,38.7,1604952,1428/676610,Japan,ABD,s1 m1
Helicobacter pylori UM032,209379,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/455/GCF_000392455.3_ASM39245v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/455/GCA_000392455.3_ASM39245v3,1.59354,1607,36,41,35,6,38.8,1599933,1440/209379,Malaysia,ABD,s1 m2
Helicobacter pylori UM037,210005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/515/GCF_000392515.3_ASM39251v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/515/GCA_000392515.3_ASM39251v3,1.69279,1715,105,41,35,6,38.9,1694406,1507/210005,Malaysia,ABC, 
Helicobacter pylori UM066,210006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/535/GCF_000392535.3_ASM39253v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/535/GCA_000392535.3_ASM39253v3,1.65805,1656,56,40,34,6,38.6,1658730,1471/210006,Malaysia,ABD,s1 m2
Helicobacter pylori UM298,209381,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/295/GCF_000439295.2_ASM43929v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/295/GCA_000439295.2_ASM43929v2,1.59454,1615,39,41,35,6,38.8,1604216,1440/209381,Singapore,ABD,s1 m2
Helicobacter pylori UM299,209380,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/475/GCF_000392475.3_ASM39247v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/475/GCA_000392475.3_ASM39247v3,1.59457,1615,39,41,35,6,38.8,1602007,1439/209380,Malaysia,ABD,s1 m2
Helicobacter pylori v225d,163534,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/185/GCF_000093185.1_ASM9318v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/185/GCA_000093185.1_ASM9318v1,1.5956,1611,71,41,35,6,38.972,1595604,1416/163534,,ABC,s1 m1
Helicobacter pylori XZ274,163554,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/655/GCF_000262655.1_ASM26265v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/655/GCA_000262655.1_ASM26265v1,1.65654,1810,84,41,35,6,38.6067,1656544,1345/163554,China,ABD,s1 m1
